; File generated by rgblink
00:0061 DisableLCD
00:006b DisableLCD.wait
00:007b EnableLCD
00:0082 ClearSprites
00:0088 ClearSprites.loop
00:008d HideSprites
00:0097 HideSprites.loop
00:009d FarCopyData
00:00b5 CopyData
00:00bb CopyData.loop
00:00bc CopyData.waitVRAM
00:00cc _CopyData
00:0150 Start
00:0157 Start.gbc
00:0159 Start.ok
00:015e ReadJoypad
00:0199 Joypad
00:01ad MapHeaderPointers
00:039d HandleMidJump
00:03a5 EnterMap
00:03c1 EnterMap.skipGivingThreeStepsOfNoRandomBattles
00:03e3 EnterMap.didNotEnterUsingFlyWarpOrDungeonWarp
00:03fe OverworldLoop
00:0404 OverworldLoopLessDelay
00:0446 OverworldLoopLessDelay.continueWithWarp
00:0460 OverworldLoopLessDelay.notSimulating
00:0462 OverworldLoopLessDelay.checkIfStartIsPressed
00:046c OverworldLoopLessDelay.startButtonNotPressed
00:0475 OverworldLoopLessDelay.AorSelectPressed
00:049b OverworldLoopLessDelay.notselect
00:04ad OverworldLoopLessDelay.displayDialogue
00:04d7 OverworldLoopLessDelay.changeMap
00:04da OverworldLoopLessDelay.checkForOpponent
00:04e4 OverworldLoopLessDelay.noDirectionButtonsPressed
00:0502 OverworldLoopLessDelay.checkIfDownButtonIsPressed
00:0511 OverworldLoopLessDelay.checkIfUpButtonIsPressed
00:051e OverworldLoopLessDelay.checkIfLeftButtonIsPressed
00:052b OverworldLoopLessDelay.checkIfRightButtonIsPressed
00:0534 OverworldLoopLessDelay.handleDirectionButtonPress
00:054a OverworldLoopLessDelay.noDirectionChange
00:0574 OverworldLoopLessDelay.surfing
00:057a OverworldLoopLessDelay.noCollision
00:0583 OverworldLoopLessDelay.pc60fpsCounter
00:0588 OverworldLoopLessDelay.moveAhead
00:0597 OverworldLoopLessDelay.noSpinning
00:059a OverworldLoopLessDelay.moveAhead2
00:05ae OverworldLoopLessDelay.speedloop
00:05bc OverworldLoopLessDelay.normalPlayerSpriteAdvancement
00:05e3 OverworldLoopLessDelay.doneStepCounting
00:05f9 OverworldLoopLessDelay.notSafariZone
00:060c OverworldLoopLessDelay.newBattle
00:0617 OverworldLoopLessDelay.battleOccurred
00:0637 OverworldLoopLessDelay.notCinnabarGym
00:0650 OverworldLoopLessDelay.noFaintCheck
00:0658 OverworldLoopLessDelay.allPokemonFainted
00:0663 NewBattle
00:067e NewBattle.noBattle
00:0680 DoBikeSpeedup
00:0691 DoBikeSpeedup.goFaster
00:0694 CheckWarpsNoCollision
00:06ac CheckWarpsNoCollisionLoop
00:06e6 CheckWarpsCollision
00:06ed CheckWarpsCollision.loop
00:0706 CheckWarpsCollision.retry1
00:0707 CheckWarpsCollision.retry2
00:070f CheckWarpsNoCollisionRetry1
00:0710 CheckWarpsNoCollisionRetry2
00:0715 WarpFound1
00:071c WarpFound2
00:0747 WarpFound2.indoorMaps
00:0768 WarpFound2.notWarpPad
00:076b WarpFound2.skipMapChangeSound
00:0774 WarpFound2.goBackOutside
00:0781 WarpFound2.done
00:078c ContinueCheckWarpsNoCollisionLoop
00:0791 CheckMapConnections
00:079b CheckMapConnections.loadNewMap
00:07b4 CheckMapConnections.didNotEnterConnectedMap
00:07b7 PlayMapChangeSound
00:07c2 PlayMapChangeSound.didNotGoThroughDoor
00:07c4 PlayMapChangeSound.playSound
00:07db CheckIfInOutsideMap
00:07e3 ExtraWarpCheck
00:080c ExtraWarpCheck.useFunction1
00:0811 ExtraWarpCheck.useFunction2
00:0814 ExtraWarpCheck.doBankswitch
00:0819 MapEntryAfterBattle
00:0834 HandleBlackOut
00:0859 StopMusic
00:0864 StopMusic.wait
00:086d HandleFlyWarpOrDungeonWarp
00:0897 LeaveMapAnim
00:089f LoadPlayerSpriteGraphics
00:08ac LoadPlayerSpriteGraphics.ridingBike
00:08b1 LoadPlayerSpriteGraphics.startWalking
00:08bb LoadPlayerSpriteGraphics.determineGraphics
00:08cd IsBikeRidingAllowed
00:08df IsBikeRidingAllowed.loop
00:08e8 IsBikeRidingAllowed.allowed
00:08ea BikeRidingTilesets
00:08f0 LoadTilesetTilePatternData
00:0904 LoadTileBlockMap
00:090e LoadTileBlockMap.backgroundTileLoop
00:0936 LoadTileBlockMap.rowLoop
00:093a LoadTileBlockMap.rowInnerLoop
00:0948 LoadTileBlockMap.noCarry
00:094b LoadTileBlockMap.northConnection
00:0972 LoadTileBlockMap.southConnection
00:0999 LoadTileBlockMap.westConnection
00:09bf LoadTileBlockMap.eastConnection
00:09e5 LoadTileBlockMap.done
00:09e6 LoadNorthSouthConnectionsTileMap
00:09e8 LoadNorthSouthConnectionsTileMap.loop
00:09ed LoadNorthSouthConnectionsTileMap.innerLoop
00:09fc LoadNorthSouthConnectionsTileMap.noCarry1
00:0a06 LoadNorthSouthConnectionsTileMap.noCarry2
00:0a0a LoadEastWestConnectionsTileMap
00:0a0e LoadEastWestConnectionsTileMap.innerLoop
00:0a1d LoadEastWestConnectionsTileMap.noCarry1
00:0a27 LoadEastWestConnectionsTileMap.noCarry2
00:0a2b IsSpriteOrSignInFrontOfPlayer
00:0a42 IsSpriteOrSignInFrontOfPlayer.signLoop
00:0a4a IsSpriteOrSignInFrontOfPlayer.yCoordMatched
00:0a4e IsSpriteOrSignInFrontOfPlayer.xCoordMatched
00:0a5d IsSpriteOrSignInFrontOfPlayer.retry
00:0a60 IsSpriteOrSignInFrontOfPlayer.extendRangeOverCounter
00:0a6c IsSpriteOrSignInFrontOfPlayer.counterTilesLoop
00:0a73 IsSpriteInFrontOfPlayer
00:0a75 IsSpriteInFrontOfPlayer2
00:0a7b IsSpriteInFrontOfPlayer2.checkIfPlayerFacingUp
00:0a86 IsSpriteInFrontOfPlayer2.checkIfPlayerFacingDown
00:0a91 IsSpriteInFrontOfPlayer2.checkIfPlayerFacingRight
00:0a9c IsSpriteInFrontOfPlayer2.playerFacingLeft
00:0aa1 IsSpriteInFrontOfPlayer2.doneCheckingDirection
00:0aaf IsSpriteInFrontOfPlayer2.spriteLoop
00:0ac3 IsSpriteInFrontOfPlayer2.nextSprite
00:0acd IsSpriteInFrontOfPlayer2.foundSpriteInFrontOfPlayer
00:0ad9 CollisionCheckOnLand
00:0b08 CollisionCheckOnLand.collision
00:0b08 CollisionCheckOnLand.setCarry
00:0b0a CollisionCheckOnLand.noCollision
00:0b0c CheckTilePassable
00:0b1b CheckTilePassable.loop
00:0b24 CheckTilePassable.tileNotPassable
00:0b26 CheckForJumpingAndTilePairCollisions
00:0b40 CheckForTilePairCollisions2
00:0b46 CheckForTilePairCollisions
00:0b4a CheckForTilePairCollisions.tilePairCollisionLoop
00:0b57 CheckForTilePairCollisions.retry
00:0b5a CheckForTilePairCollisions.tilesetMatches
00:0b69 CheckForTilePairCollisions.currentTileMatchesFirstInPair
00:0b70 CheckForTilePairCollisions.currentTileMatchesSecondInPair
00:0b76 CheckForTilePairCollisions.foundMatch
00:0b78 CheckForTilePairCollisions.noMatch
00:0b7a TilePairCollisionsLand
00:0b9c TilePairCollisionsWater
00:0bac LoadCurrentMapView
00:0bc4 LoadCurrentMapView.rowLoop
00:0bc8 LoadCurrentMapView.rowInnerLoop
00:0be6 LoadCurrentMapView.noCarry
00:0bee LoadCurrentMapView.noCarry2
00:0bf7 LoadCurrentMapView.adjustForYCoordWithinTileBlock
00:0c01 LoadCurrentMapView.adjustForXCoordWithinTileBlock
00:0c0b LoadCurrentMapView.copyToVisibleAreaBuffer
00:0c1e LoadCurrentMapView.rowLoop2
00:0c20 LoadCurrentMapView.rowInnerLoop2
00:0c44 AdvancePlayerSprite
00:0c60 AdvancePlayerSprite.afterUpdateMapCoords
00:0c6f AdvancePlayerSprite.pc60fpsCounterComp
00:0c8b AdvancePlayerSprite.checkIfMovingWest
00:0ca1 AdvancePlayerSprite.checkIfMovingSouth
00:0cbd AdvancePlayerSprite.checkIfMovingNorth
00:0cd6 AdvancePlayerSprite.adjustXCoordWithinBlock
00:0cee AdvancePlayerSprite.checkForMoveToWestBlock
00:0d01 AdvancePlayerSprite.adjustYCoordWithinBlock
00:0d1c AdvancePlayerSprite.checkForMoveToNorthBlock
00:0d30 AdvancePlayerSprite.updateMapView
00:0d49 AdvancePlayerSprite.checkIfMovingNorth2
00:0d52 AdvancePlayerSprite.checkIfMovingEast2
00:0d5e AdvancePlayerSprite.checkIfMovingWest2
00:0d65 AdvancePlayerSprite.scrollBackgroundAndSprites
00:0d76 AdvancePlayerSprite.xy60fpsEnd
00:0d8a AdvancePlayerSprite.spriteShiftLoop
00:0d98 AdvancePlayerSprite.done
00:0d99 MoveTileBlockMapPointerEast
00:0da3 MoveTileBlockMapPointerWest
00:0dad MoveTileBlockMapPointerSouth
00:0db9 MoveTileBlockMapPointerNorth
00:0dc5 ScheduleNorthRowRedraw
